Unit,Topic,Microtopic,MD File Name,Status,GitHub URL
Unit 3: Programming Languages and Computer Graphics,Computer Graphics,Window to View-Port Transformation,computer_graphics__window_to_view-port_transformation.md,Pending,
Unit 3: Programming Languages and Computer Graphics,Computer Graphics,Line and Polygon Clipping Algorithms,computer_graphics__line_and_polygon_clipping_algorithms.md,Pending,
Unit 3: Programming Languages and Computer Graphics,Computer Graphics,3D Object Representations,computer_graphics__3d_object_representations.md,Pending,
Unit 3: Programming Languages and Computer Graphics,Computer Graphics,Geometric Transformations,computer_graphics__geometric_transformations.md,Pending,
Unit 3: Programming Languages and Computer Graphics,Computer Graphics,Polygon and Quadric Surfaces,computer_graphics__polygon_and_quadric_surfaces.md,Pending,
Unit 3: Programming Languages and Computer Graphics,Computer Graphics,"Spline, Bezier and B-Spline Curves","computer_graphics__spline,_bezier_and_b-spline_curves.md",Pending,
Unit 3: Programming Languages and Computer Graphics,Computer Graphics,Bezier and B-Spline Surfaces,computer_graphics__bezier_and_b-spline_surfaces.md,Pending,
Unit 3: Programming Languages and Computer Graphics,Computer Graphics,Illumination Models,computer_graphics__illumination_models.md,Pending,
Unit 3: Programming Languages and Computer Graphics,Computer Graphics,Polygon Rendering Methods,computer_graphics__polygon_rendering_methods.md,Pending,
Unit 3: Programming Languages and Computer Graphics,Computer Graphics,3D Viewing Pipeline and Coordinates,computer_graphics__3d_viewing_pipeline_and_coordinates.md,Pending,
Unit 3: Programming Languages and Computer Graphics,Computer Graphics,General Projection and Clipping,computer_graphics__general_projection_and_clipping.md,Pending,
Unit 4: Database Management Systems,DBMS Concepts,Data Models,dbms_concepts__data_models.md,Pending,
Unit 4: Database Management Systems,DBMS Concepts,Schemas and Instances,dbms_concepts__schemas_and_instances.md,Pending,
Unit 4: Database Management Systems,DBMS Concepts,Three-Schema Architecture,dbms_concepts__three-schema_architecture.md,Pending,
Unit 4: Database Management Systems,DBMS Concepts,Data Independence,dbms_concepts__data_independence.md,Pending,
Unit 4: Database Management Systems,DBMS Concepts,Database Languages,dbms_concepts__database_languages.md,Pending,
Unit 4: Database Management Systems,DBMS Concepts,DBMS Interfaces,dbms_concepts__dbms_interfaces.md,Pending,
Unit 4: Database Management Systems,DBMS Concepts,Centralized and Client/Server Architectures,dbms_concepts__centralized_and_client/server_architectures.md,Pending,
Unit 4: Database Management Systems,Data Modeling,Entity-Relationship Diagram,data_modeling__entity-relationship_diagram.md,Pending,
Unit 4: Database Management Systems,Data Modeling,Relational Model Constraints,data_modeling__relational_model_constraints.md,Pending,
Unit 4: Database Management Systems,Data Modeling,Relational Model Languages,data_modeling__relational_model_languages.md,Pending,
Unit 4: Database Management Systems,Data Modeling,Relational Design,data_modeling__relational_design.md,Pending,
Unit 4: Database Management Systems,Data Modeling,Relational Programming,data_modeling__relational_programming.md,Pending,
Unit 4: Database Management Systems,Data Modeling,Relational Database Schemas,data_modeling__relational_database_schemas.md,Pending,
Unit 4: Database Management Systems,Data Modeling,Update Operations,data_modeling__update_operations.md,Pending,
Unit 4: Database Management Systems,Data Modeling,Constraint Violations,data_modeling__constraint_violations.md,Pending,
Unit 4: Database Management Systems,Data Modeling,Relational Algebra,data_modeling__relational_algebra.md,Pending,
Unit 4: Database Management Systems,Data Modeling,Relational Calculus,data_modeling__relational_calculus.md,Pending,
Unit 4: Database Management Systems,Data Modeling,Codd Rules,data_modeling__codd_rules.md,Pending,
Unit 4: Database Management Systems,SQL,Data Definition,sql__data_definition.md,Pending,
Unit 4: Database Management Systems,SQL,Data Types,sql__data_types.md,Pending,
Unit 4: Database Management Systems,SQL,SQL Constraints,sql__sql_constraints.md,Pending,
Unit 4: Database Management Systems,SQL,SQL Queries,sql__sql_queries.md,Pending,
Unit 4: Database Management Systems,SQL,Insert/Delete/Update Statements,sql__insert/delete/update_statements.md,Pending,
Unit 4: Database Management Systems,SQL,Views,sql__views.md,Pending,
Unit 4: Database Management Systems,SQL,Stored Procedures and Functions,sql__stored_procedures_and_functions.md,Pending,
Unit 4: Database Management Systems,SQL,Database Triggers,sql__database_triggers.md,Pending,
Unit 4: Database Management Systems,SQL,SQL Injection,sql__sql_injection.md,Pending,
Unit 4: Database Management Systems,Normalization,Functional Dependencies,normalization__functional_dependencies.md,Pending,
Unit 4: Database Management Systems,Normalization,Normalization Forms,normalization__normalization_forms.md,Pending,
Unit 4: Database Management Systems,Normalization,Query Processing Algorithms,normalization__query_processing_algorithms.md,Pending,
Unit 4: Database Management Systems,Normalization,Query Optimization,normalization__query_optimization.md,Pending,
Unit 4: Database Management Systems,Normalization,Transaction Processing,normalization__transaction_processing.md,Pending,
Unit 4: Database Management Systems,Normalization,Concurrency Control,normalization__concurrency_control.md,Pending,
Unit 4: Database Management Systems,Normalization,Database Recovery,normalization__database_recovery.md,Pending,
Unit 4: Database Management Systems,Normalization,Object Databases,normalization__object_databases.md,Pending,
Unit 4: Database Management Systems,Normalization,Object-Relational Databases,normalization__object-relational_databases.md,Pending,
Unit 4: Database Management Systems,Normalization,Database Security,normalization__database_security.md,Pending,
Unit 4: Database Management Systems,Normalization,Authorization,normalization__authorization.md,Pending,
Unit 4: Database Management Systems,Enhanced Data Models,Temporal Databases,enhanced_data_models__temporal_databases.md,Pending,
Unit 4: Database Management Systems,Enhanced Data Models,Multimedia Databases,enhanced_data_models__multimedia_databases.md,Pending,
Unit 4: Database Management Systems,Enhanced Data Models,Deductive Databases,enhanced_data_models__deductive_databases.md,Pending,
